Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,,,,,,#date+year,,,#indicator+type,#indicator+value+num,
PHL,1970-01-01,1970-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7021,Annual value,,5.904349999300,X
PHL,1970-01-01,1970-01-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7001,January,,3.900000002900,X
PHL,1970-02-01,1970-02-28,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7002,February,,4.204299999000,X
PHL,1970-03-01,1970-03-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7003,March,,6.096199999000,X
PHL,1970-04-01,1970-04-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7004,April,,6.162799999000,X
PHL,1970-05-01,1970-05-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7005,May,,6.121299999000,X
PHL,1970-06-01,1970-06-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7006,June,,6.192399999000,X
PHL,1970-07-01,1970-07-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7007,July,,6.230299999000,X
PHL,1970-08-01,1970-08-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7008,August,,6.269499999000,X
PHL,1970-09-01,1970-09-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7009,September,,6.370399999000,X
PHL,1970-10-01,1970-10-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7010,October,,6.434999999000,X
PHL,1970-11-01,1970-11-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7011,November,,6.434999999000,X
PHL,1970-12-01,1970-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1970,1970,7012,December,,6.434999999000,X
PHL,1971-01-01,1971-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7021,Annual value,,6.431708332300,X
PHL,1971-01-01,1971-01-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7001,January,,6.434999999000,X
PHL,1971-02-01,1971-02-28,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7002,February,,6.434999999000,X
PHL,1971-03-01,1971-03-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1971,1971,7003,March,,6.434999999000,X
