Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
PHL,1991-01-01,1991-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),1991,1991,7021,Annual value,LCU,14510.000000,A
PHL,1992-01-01,1992-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),1992,1992,7021,Annual value,LCU,17950.000000,A
PHL,1993-01-01,1993-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,19600.000000,A
PHL,1994-01-01,1994-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,19300.000000,A
PHL,1995-01-01,1995-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,18980.000000,A
PHL,1996-01-01,1996-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),1996,1996,7021,Annual value,LCU,17940.000000,A
PHL,1997-01-01,1997-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),1997,1997,7021,Annual value,LCU,17050.000000,A
PHL,1998-01-01,1998-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),1998,1998,7021,Annual value,LCU,18800.000000,A
PHL,1999-01-01,1999-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),1999,1999,7021,Annual value,LCU,20160.000000,A
PHL,2000-01-01,2000-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2000,2000,7021,Annual value,LCU,18690.000000,A
PHL,2001-01-01,2001-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2001,2001,7021,Annual value,LCU,15760.000000,A
PHL,2002-01-01,2002-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,17200.000000,A
PHL,2003-01-01,2003-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2003,2003,7021,Annual value,LCU,19750.000000,A
PHL,2004-01-01,2004-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2004,2004,7021,Annual value,LCU,25410.000000,A
PHL,2005-01-01,2005-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2005,2005,7021,Annual value,LCU,32820.000000,A
PHL,2006-01-01,2006-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2006,2006,7021,Annual value,LCU,34780.000000,A
PHL,2007-01-01,2007-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2007,2007,7021,Annual value,LCU,34170.000000,A
PHL,2008-01-01,2008-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2008,2008,7021,Annual value,LCU,44060.000000,A
PHL,2009-01-01,2009-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2009,2009,7021,Annual value,LCU,35770.000000,A
PHL,2010-01-01,2010-12-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2010,2010,7021,Annual value,LCU,34570.000000,A
PHL,2010-01-01,2010-01-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2010,2010,7001,January,LCU,32910.000000,A
PHL,2010-02-01,2010-02-28,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2010,2010,7002,February,LCU,33310.000000,A
PHL,2010-03-01,2010-03-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2010,2010,7003,March,LCU,34060.000000,A
PHL,2010-04-01,2010-04-30,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2010,2010,7004,April,LCU,34970.000000,A
PHL,2010-05-01,2010-05-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2010,2010,7005,May,LCU,34520.000000,A
PHL,2010-06-01,2010-06-30,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2010,2010,7006,June,LCU,34760.000000,A
PHL,2010-07-01,2010-07-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2010,2010,7007,July,LCU,34840.000000,A
PHL,2010-08-01,2010-08-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2010,2010,7008,August,LCU,34800.000000,A
PHL,2010-09-01,2010-09-30,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2010,2010,7009,September,LCU,35100.000000,A
PHL,2010-10-01,2010-10-31,171,'608,Philippines,809,'01929.07,"Abaca, manila hemp, raw",5530,Producer Price (LCU/tonne),2010,2010,7010,October,LCU,34970.000000,A
